Quarter,County,VALUE
2009Q4,Meath,43
2009Q4,Offaly,2
2009Q4,Westmeath,5
2009Q4,Wexford,18
2009Q4,Wicklow,91
2009Q4,Clare,10
2009Q4,Cork,122
2009Q4,Kerry,6
2009Q4,Limerick,32
2009Q4,Tipperary,20
2009Q4,Waterford,9
2009Q4,Galway,50
2009Q4,Leitrim,5
2009Q4,Mayo,3
2009Q4,Roscommon,1
2009Q4,Sligo,60
2009Q4,Cavan,0
2009Q4,Donegal,11
2009Q4,Monaghan,37
2010Q1,All Counties,429
2010Q1,Carlow,1
2010Q1,Dublin,40
2010Q1,Kildare,51
2010Q1,Kilkenny,6
2010Q1,Laois,13
2010Q1,Longford,0
2010Q1,Louth,9
2010Q1,Meath,17
2010Q1,Offaly,4
2010Q1,Westmeath,7
2010Q1,Wexford,11
2010Q1,Wicklow,4
2010Q1,Clare,15
2010Q1,Cork,113
2010Q1,Kerry,21
2010Q1,Limerick,9
2010Q1,Tipperary,30
2010Q1,Waterford,6
2010Q1,Galway,8
2010Q1,Leitrim,0
2010Q1,Mayo,4
2010Q1,Roscommon,2
2010Q1,Sligo,4
2010Q1,Cavan,2
2010Q1,Donegal,44
2010Q1,Monaghan,8
2010Q2,All Counties,743
2010Q2,Carlow,31
2010Q2,Dublin,195
2010Q2,Kildare,24
2010Q2,Kilkenny,12
2010Q2,Laois,4
2010Q2,Longford,2
2010Q2,Louth,23
2010Q2,Meath,34
2010Q2,Offaly,7
2010Q2,Westmeath,4
2010Q2,Wexford,58
2010Q2,Wicklow,40
2010Q2,Clare,8
2010Q2,Cork,141
2010Q2,Kerry,12
2010Q2,Limerick,13
2010Q2,Tipperary,21
2010Q2,Waterford,6
2010Q2,Galway,7
2010Q2,Leitrim,2
2010Q2,Mayo,58
2010Q2,Roscommon,6
2010Q2,Sligo,27
2010Q2,Cavan,0
2010Q2,Donegal,6
2010Q2,Monaghan,2
2010Q3,All Counties,304
2010Q3,Carlow,4
2010Q3,Dublin,63
2010Q3,Kildare,10
2010Q3,Kilkenny,5
2010Q3,Laois,5
2010Q3,Longford,0
2010Q3,Louth,4
2010Q3,Meath,26
2010Q3,Offaly,5
2010Q3,Westmeath,1
2010Q3,Wexford,4
2010Q3,Wicklow,7
2010Q3,Clare,9
2010Q3,Cork,66
2010Q3,Kerry,13
2010Q3,Limerick,25
2010Q3,Tipperary,24
2010Q3,Waterford,4
2010Q3,Galway,13
2010Q3,Leitrim,0
2010Q3,Mayo,4
2010Q3,Roscommon,1
2010Q3,Sligo,2
2010Q3,Cavan,0
2010Q3,Donegal,5
2010Q3,Monaghan,4
2010Q4,All Counties,204
2010Q4,Carlow,1
2010Q4,Dublin,20
2010Q4,Kildare,29
2010Q4,Kilkenny,5
2010Q4,Laois,6
2010Q4,Longford,1
2010Q4,Louth,14
2010Q4,Meath,10
2010Q4,Offaly,11
2010Q4,Westmeath,2
2010Q4,Wexford,18
2010Q4,Wicklow,1
2010Q4,Clare,3
2010Q4,Cork,38
2010Q4,Kerry,11
2010Q4,Limerick,8
2010Q4,Tipperary,8
2010Q4,Waterford,2
2010Q4,Galway,3
2010Q4,Leitrim,0
2010Q4,Mayo,0
2010Q4,Roscommon,0
2010Q4,Sligo,1
2010Q4,Cavan,0
2010Q4,Donegal,12
2010Q4,Monaghan,0
2011Q1,All Counties,274
2011Q1,Carlow,14
2011Q1,Dublin,58
2011Q1,Kildare,17
2011Q1,Kilkenny,7
2011Q1,Laois,1
2011Q1,Longford,0
2011Q1,Louth,9
2011Q1,Meath,13
2011Q1,Offaly,2
2011Q1,Westmeath,2
2011Q1,Wexford,2
2011Q1,Wicklow,6
2011Q1,Clare,4
2011Q1,Cork,44
2011Q1,Kerry,29
2011Q1,Limerick,16
2011Q1,Tipperary,8
2011Q1,Waterford,12
2011Q1,Galway,15
2011Q1,Leitrim,0
2011Q1,Mayo,4
2011Q1,Roscommon,1
2011Q1,Sligo,9
2011Q1,Cavan,0
2011Q1,Donegal,1
2011Q1,Monaghan,0
2011Q2,All Counties,168
2011Q2,Carlow,2
2011Q2,Dublin,32
2011Q2,Kildare,12
2011Q2,Kilkenny,3
2011Q2,Laois,5
2011Q2,Longford,0
2011Q2,Louth,6
2011Q2,Meath,10
2011Q2,Offaly,4
2011Q2,Westmeath,0
2011Q2,Wexford,3
2011Q2,Wicklow,4
2011Q2,Clare,2
2011Q2,Cork,50
2011Q2,Kerry,5
2011Q2,Limerick,6
2011Q2,Tipperary,8
2011Q2,Waterford,3
2011Q2,Galway,3
2011Q2,Leitrim,0
2011Q2,Mayo,1
2011Q2,Roscommon,2
2011Q2,Sligo,1
2011Q2,Cavan,1
2011Q2,Donegal,3
2011Q2,Monaghan,2
2011Q3,All Counties,183
2011Q3,Carlow,1
2011Q3,Dublin,38
2011Q3,Kildare,5
2011Q3,Kilkenny,3
2011Q3,Laois,2
2011Q3,Longford,0
2011Q3,Louth,1
2011Q3,Meath,16
2011Q3,Offaly,13
2011Q3,Westmeath,1
2011Q3,Wexford,2
2011Q3,Wicklow,14
2011Q3,Clare,4
2011Q3,Cork,55
2011Q3,Kerry,3
2011Q3,Limerick,6
2011Q3,Tipperary,8
2011Q3,Waterford,4
2011Q3,Galway,2
2011Q3,Leitrim,0
2011Q3,Mayo,1
2011Q3,Roscommon,0
2011Q3,Sligo,2
2011Q3,Cavan,0
2011Q3,Donegal,1
2011Q3,Monaghan,1
2011Q4,All Counties,209
2011Q4,Carlow,0
2011Q4,Dublin,12
2011Q4,Kildare,11
2011Q4,Kilkenny,30
2011Q4,Laois,2
2011Q4,Longford,0
2011Q4,Louth,6
2011Q4,Meath,1
2011Q4,Offaly,5
2011Q4,Westmeath,2
2011Q4,Wexford,2
2011Q4,Wicklow,1
2011Q4,Clare,4
2011Q4,Cork,98
2011Q4,Kerry,10
2011Q4,Limerick,6
2011Q4,Tipperary,2
2011Q4,Waterford,1
2011Q4,Galway,9
2011Q4,Leitrim,1
2011Q4,Mayo,0
2011Q4,Roscommon,1
2011Q4,Sligo,0
2011Q4,Cavan,0
2011Q4,Donegal,0
2011Q4,Monaghan,5
2012Q1,All Counties,144
2012Q1,Carlow,1
2012Q1,Dublin,9
2012Q1,Kildare,5
2012Q1,Kilkenny,1
2012Q1,Laois,2
2012Q1,Longford,0
2012Q1,Louth,53
2012Q1,Meath,5
2012Q1,Offaly,1
2012Q1,Westmeath,1
2012Q1,Wexford,8
2012Q1,Wicklow,1
2012Q1,Clare,1
2012Q1,Cork,35
2012Q1,Kerry,7
2012Q1,Limerick,2
2012Q1,Tipperary,3
2012Q1,Waterford,3
2012Q1,Galway,2
2012Q1,Leitrim,0
2012Q1,Mayo,3
2012Q1,Roscommon,0
2012Q1,Sligo,0
2012Q1,Cavan,0
2012Q1,Donegal,0
2012Q1,Monaghan,1
2012Q2,All Counties,195
2012Q2,Carlow,0
2012Q2,Dublin,71
2012Q2,Kildare,23
2012Q2,Kilkenny,1
2012Q2,Laois,4
2012Q2,Longford,0
2012Q2,Louth,21
2012Q2,Meath,2
2012Q2,Offaly,3
2012Q2,Westmeath,0
2012Q2,Wexford,3
2012Q2,Wicklow,5
2012Q2,Clare,1
2012Q2,Cork,34
2012Q2,Kerry,8
2012Q2,Limerick,6
2012Q2,Tipperary,3
2012Q2,Waterford,2
2012Q2,Galway,4
2012Q2,Leitrim,0
2012Q2,Mayo,0
2012Q2,Roscommon,0
2012Q2,Sligo,2
2012Q2,Cavan,0
2012Q2,Donegal,2
2012Q2,Monaghan,0
2012Q3,All Counties,125
2012Q3,Carlow,0
2012Q3,Dublin,31
2012Q3,Kildare,10
2012Q3,Kilkenny,2
2012Q3,Laois,1
2012Q3,Longford,0
2012Q3,Louth,6
2012Q3,Meath,4
2012Q3,Offaly,5
2012Q3,Westmeath,2
2012Q3,Wexford,1
2012Q3,Wicklow,19
2012Q3,Clare,1
2012Q3,Cork,31
2012Q3,Kerry,4
2012Q3,Limerick,2
2012Q3,Tipperary,0
2012Q3,Waterford,1
2012Q3,Galway,2
2012Q3,Leitrim,0
2012Q3,Mayo,1
2012Q3,Roscommon,0
2012Q3,Sligo,0
2012Q3,Cavan,1
2012Q3,Donegal,0
2012Q3,Monaghan,1
2012Q4,All Counties,163
2012Q4,Carlow,0
2012Q4,Dublin,31
2012Q4,Kildare,24
2012Q4,Kilkenny,4
2012Q4,Laois,1
2012Q4,Longford,1
2012Q4,Louth,26
2012Q4,Meath,9
2012Q4,Offaly,3
2012Q4,Westmeath,0
2012Q4,Wexford,3
2012Q4,Wicklow,3
2012Q4,Clare,3
2012Q4,Cork,40
2012Q4,Kerry,6
2012Q4,Limerick,0
2012Q4,Tipperary,6
2012Q4,Waterford,0
2012Q4,Galway,2
2012Q4,Leitrim,0
2012Q4,Mayo,0
2012Q4,Roscommon,0
2012Q4,Sligo,0
2012Q4,Cavan,0
2012Q4,Donegal,1
2012Q4,Monaghan,0
2013Q1,All Counties,219
2013Q1,Carlow,1
2013Q1,Dublin,96
2013Q1,Kildare,17
2013Q1,Kilkenny,3
2013Q1,Laois,5
2013Q1,Longford,1
2013Q1,Louth,2
2013Q1,Meath,14
2013Q1,Offaly,2
2013Q1,Westmeath,4
2013Q1,Wexford,4
2013Q1,Wicklow,12
2013Q1,Clare,1
2013Q1,Cork,43
2013Q1,Kerry,4
2013Q1,Limerick,7
2013Q1,Tipperary,2
2013Q1,Waterford,1
2013Q1,Galway,0
2013Q1,Leitrim,0
2013Q1,Mayo,0
2013Q1,Roscommon,0
2013Q1,Sligo,0
2013Q1,Cavan,0
2013Q1,Donegal,0
2013Q1,Monaghan,0
2013Q2,All Counties,408
2013Q2,Carlow,0
2013Q2,Dublin,217
2013Q2,Kildare,26
2013Q2,Kilkenny,0
2013Q2,Laois,2
2013Q2,Longford,0
2013Q2,Louth,14
2013Q2,Meath,10
2013Q2,Offaly,1
2013Q2,Westmeath,0
2013Q2,Wexford,0
2013Q2,Wicklow,10
2013Q2,Clare,2
2013Q2,Cork,47
2013Q2,Kerry,15
2013Q2,Limerick,4
2013Q2,Tipperary,2
2013Q2,Waterford,11
2013Q2,Galway,3
2013Q2,Leitrim,0
2013Q2,Mayo,36
2013Q2,Roscommon,0
2013Q2,Sligo,1
2013Q2,Cavan,0
2013Q2,Donegal,7
2013Q2,Monaghan,0
2013Q3,All Counties,417
2013Q3,Carlow,0
2013Q3,Dublin,226
2013Q3,Kildare,29
2013Q3,Kilkenny,3
2013Q3,Laois,1
2013Q3,Longford,0
2013Q3,Louth,19
2013Q3,Meath,30
2013Q3,Offaly,0
2013Q3,Westmeath,0
2013Q3,Wexford,2
2013Q3,Wicklow,7
2013Q3,Clare,1
2013Q3,Cork,71
2013Q3,Kerry,2
2013Q3,Limerick,5
2013Q3,Tipperary,4
2013Q3,Waterford,0
2013Q3,Galway,12
2013Q3,Leitrim,0
2013Q3,Mayo,1
2013Q3,Roscommon,1
2013Q3,Sligo,1
2013Q3,Cavan,0
2013Q3,Donegal,1
2013Q3,Monaghan,1
2013Q4,All Counties,282
2013Q4,Carlow,1
2013Q4,Dublin,136
2013Q4,Kildare,46
2013Q4,Kilkenny,2
2013Q4,Laois,0
2013Q4,Longford,0
2013Q4,Louth,0
2013Q4,Meath,5
2013Q4,Offaly,3
2013Q4,Westmeath,0
2013Q4,Wexford,0
2013Q4,Wicklow,15
2013Q4,Clare,1
2013Q4,Cork,36
2013Q4,Kerry,4
2013Q4,Limerick,10
2013Q4,Tipperary,1
2013Q4,Waterford,1
2013Q4,Galway,3
2013Q4,Leitrim,0
2013Q4,Mayo,1
2013Q4,Roscommon,0
2013Q4,Sligo,0
2013Q4,Cavan,0
2013Q4,Donegal,15
2013Q4,Monaghan,2
2014Q1,All Counties,489
2014Q1,Carlow,2
2014Q1,Dublin,221
2014Q1,Kildare,88
2014Q1,Kilkenny,1
2014Q1,Laois,2
2014Q1,Longford,0
2014Q1,Louth,13
2014Q1,Meath,36
2014Q1,Offaly,0
2014Q1,Westmeath,1
2014Q1,Wexford,5
2014Q1,Wicklow,21
2014Q1,Clare,1
2014Q1,Cork,59
2014Q1,Kerry,4
2014Q1,Limerick,2
2014Q1,Tipperary,3
2014Q1,Waterford,10
2014Q1,Galway,19
2014Q1,Leitrim,0
2014Q1,Mayo,0
2014Q1,Roscommon,0
2014Q1,Sligo,0
2014Q1,Cavan,1
2014Q1,Donegal,0
2014Q1,Monaghan,0
2014Q2,All Counties,511
2014Q2,Carlow,0
2014Q2,Dublin,292
2014Q2,Kildare,31
2014Q2,Kilkenny,2
2014Q2,Laois,1
2014Q2,Longford,0
2014Q2,Louth,2
2014Q2,Meath,21
2014Q2,Offaly,5
2014Q2,Westmeath,9
2014Q2,Wexford,10
2014Q2,Wicklow,34
2014Q2,Clare,2
2014Q2,Cork,50
2014Q2,Kerry,11
2014Q2,Limerick,4
2014Q2,Tipperary,6
2014Q2,Waterford,24
2014Q2,Galway,3
2014Q2,Leitrim,0
2014Q2,Mayo,0
2014Q2,Roscommon,0
2014Q2,Sligo,0
2014Q2,Cavan,1
2014Q2,Donegal,0
2014Q2,Monaghan,3
2014Q3,All Counties,679
2014Q3,Carlow,24
2014Q3,Dublin,327
2014Q3,Kildare,94
2014Q3,Kilkenny,0
2014Q3,Laois,0
2014Q3,Longford,0
2014Q3,Louth,4
2014Q3,Meath,39
2014Q3,Offaly,0
2014Q3,Westmeath,2
2014Q3,Wexford,16
2014Q3,Wicklow,27
2014Q3,Clare,5
2014Q3,Cork,114
2014Q3,Kerry,10
2014Q3,Limerick,7
2014Q3,Tipperary,4
2014Q3,Waterford,1
2014Q3,Galway,1
2014Q3,Leitrim,0
2014Q3,Mayo,0
2014Q3,Roscommon,0
2014Q3,Sligo,0
2014Q3,Cavan,0
2014Q3,Donegal,0
2014Q3,Monaghan,4
2014Q4,All Counties,895
2014Q4,Carlow,0
2014Q4,Dublin,499
2014Q4,Kildare,124
2014Q4,Kilkenny,3
2014Q4,Laois,0
2014Q4,Longford,0
2014Q4,Louth,4
2014Q4,Meath,74
2014Q4,Offaly,16
2014Q4,Westmeath,0
2014Q4,Wexford,5
2014Q4,Wicklow,39
2014Q4,Clare,0
2014Q4,Cork,74
2014Q4,Kerry,3
2014Q4,Limerick,11
2014Q4,Tipperary,2
2014Q4,Waterford,20
2014Q4,Galway,9
2014Q4,Leitrim,0
2014Q4,Mayo,0
2014Q4,Roscommon,0
2014Q4,Sligo,0
2014Q4,Cavan,0
2014Q4,Donegal,11
2014Q4,Monaghan,1
2015Q1,All Counties,789
2015Q1,Carlow,1
2015Q1,Dublin,458
2015Q1,Kildare,113
2015Q1,Kilkenny,0
2015Q1,Laois,0
2015Q1,Longford,0
2015Q1,Louth,1
2015Q1,Meath,11
2015Q1,Offaly,1
2015Q1,Westmeath,4
2015Q1,Wexford,13
2015Q1,Wicklow,21
2015Q1,Clare,1
2015Q1,Cork,122
2015Q1,Kerry,5
2015Q1,Limerick,4
2015Q1,Tipperary,3
2015Q1,Waterford,12
2015Q1,Galway,8
2015Q1,Leitrim,0
2015Q1,Mayo,6
2015Q1,Roscommon,0
2015Q1,Sligo,0
2015Q1,Cavan,0
2015Q1,Donegal,0
2015Q1,Monaghan,5
2015Q2,All Counties,1157
2015Q2,Carlow,3
2015Q2,Dublin,521
2015Q2,Kildare,223
2015Q2,Kilkenny,1
2015Q2,Laois,0
2015Q2,Longford,0
2015Q2,Louth,43
2015Q2,Meath,54
2015Q2,Offaly,2
2015Q2,Westmeath,7
2015Q2,Wexford,28
2015Q2,Wicklow,81
2015Q2,Clare,4
2015Q2,Cork,108
2015Q2,Kerry,2
2015Q2,Limerick,33
2015Q2,Tipperary,7
2015Q2,Waterford,9
2015Q2,Galway,17
2015Q2,Leitrim,1
2015Q2,Mayo,6
2015Q2,Roscommon,7
2015Q2,Sligo,0
2015Q2,Cavan,0
2015Q2,Donegal,0
2015Q2,Monaghan,0
2015Q3,All Counties,1485
2015Q3,Carlow,1
2015Q3,Dublin,1051
2015Q3,Kildare,75
2015Q3,Kilkenny,10
2015Q3,Laois,0
2015Q3,Longford,0
2015Q3,Louth,4
2015Q3,Meath,76
2015Q3,Offaly,1
2015Q3,Westmeath,0
2015Q3,Wexford,16
2015Q3,Wicklow,18
2015Q3,Clare,11
2015Q3,Cork,128
2015Q3,Kerry,12
2015Q3,Limerick,58
2015Q3,Tipperary,3
2015Q3,Waterford,15
2015Q3,Galway,1
2015Q3,Leitrim,0
2015Q3,Mayo,3
2015Q3,Roscommon,1
2015Q3,Sligo,0
2015Q3,Cavan,0
2015Q3,Donegal,0
2015Q3,Monaghan,1
2015Q4,All Counties,859
2015Q4,Carlow,1
2015Q4,Dublin,498
2015Q4,Kildare,37
2015Q4,Kilkenny,5
2015Q4,Laois,0
2015Q4,Longford,0
2015Q4,Louth,7
2015Q4,Meath,22
2015Q4,Offaly,0
2015Q4,Westmeath,7
2015Q4,Wexford,20
2015Q4,Wicklow,62
2015Q4,Clare,9
2015Q4,Cork,121
2015Q4,Kerry,0
2015Q4,Limerick,5
2015Q4,Tipperary,0
2015Q4,Waterford,6
2015Q4,Galway,33
2015Q4,Leitrim,0
2015Q4,Mayo,7
2015Q4,Roscommon,0
2015Q4,Sligo,0
2015Q4,Cavan,0
2015Q4,Donegal,15
2015Q4,Monaghan,4
2016Q1,All Counties,1263
2016Q1,Carlow,1
2016Q1,Dublin,686
2016Q1,Kildare,99
2016Q1,Kilkenny,0
2016Q1,Laois,0
2016Q1,Longford,0
2016Q1,Louth,12
2016Q1,Meath,89
2016Q1,Offaly,1
2016Q1,Westmeath,0
2016Q1,Wexford,29
2016Q1,Wicklow,152
2016Q1,Clare,24
2016Q1,Cork,103
2016Q1,Kerry,4
2016Q1,Limerick,3
2016Q1,Tipperary,6
2016Q1,Waterford,48
2016Q1,Galway,3
2016Q1,Leitrim,0
2016Q1,Mayo,1
2016Q1,Roscommon,0
2016Q1,Sligo,0
2016Q1,Cavan,0
2016Q1,Donegal,0
2016Q1,Monaghan,2
2016Q2,All Counties,1291
2016Q2,Carlow,4
2016Q2,Dublin,537
2016Q2,Kildare,129
2016Q2,Kilkenny,16
2016Q2,Laois,0
2016Q2,Longford,0
2016Q2,Louth,14
2016Q2,Meath,136
2016Q2,Offaly,1
2016Q2,Westmeath,1
2016Q2,Wexford,27
2016Q2,Wicklow,33
2016Q2,Clare,8
2016Q2,Cork,201
2016Q2,Kerry,16
2016Q2,Limerick,92
2016Q2,Tipperary,4
2016Q2,Waterford,17
2016Q2,Galway,45
2016Q2,Leitrim,0
2016Q2,Mayo,7
2016Q2,Roscommon,3
2016Q2,Sligo,0
2016Q2,Cavan,0
2016Q2,Donegal,0
2016Q2,Monaghan,0
2016Q3,All Counties,1451
2016Q3,Carlow,4
2016Q3,Dublin,760
2016Q3,Kildare,190
2016Q3,Kilkenny,2
2016Q3,Laois,1
2016Q3,Longford,0
2016Q3,Louth,12
2016Q3,Meath,120
2016Q3,Offaly,3
2016Q3,Westmeath,0
2016Q3,Wexford,13
2016Q3,Wicklow,39
2016Q3,Clare,10
2016Q3,Cork,191
2016Q3,Kerry,13
2016Q3,Limerick,20
2016Q3,Tipperary,2
2016Q3,Waterford,51
2016Q3,Galway,2
2016Q3,Leitrim,0
2016Q3,Mayo,0
2016Q3,Roscommon,0
2016Q3,Sligo,0
2016Q3,Cavan,0
2016Q3,Donegal,18
2016Q3,Monaghan,0
2016Q4,All Counties,1621
2016Q4,Carlow,1
2016Q4,Dublin,922
2016Q4,Kildare,113
2016Q4,Kilkenny,2
2016Q4,Laois,0
2016Q4,Longford,0
2016Q4,Louth,8
2016Q4,Meath,187
2016Q4,Offaly,2
2016Q4,Westmeath,2
2016Q4,Wexford,40
2016Q4,Wicklow,66
2016Q4,Clare,7
2016Q4,Cork,170
2016Q4,Kerry,1
2016Q4,Limerick,48
2016Q4,Tipperary,9
2016Q4,Waterford,32
2016Q4,Galway,3
2016Q4,Leitrim,0
2016Q4,Mayo,6
2016Q4,Roscommon,0
2016Q4,Sligo,0
2016Q4,Cavan,0
2016Q4,Donegal,0
2016Q4,Monaghan,2
2017Q1,All Counties,2210
2017Q1,Carlow,0
2017Q1,Dublin,1265
2017Q1,Kildare,164
2017Q1,Kilkenny,0
2017Q1,Laois,1
2017Q1,Longford,0
2017Q1,Louth,7
2017Q1,Meath,321
2017Q1,Offaly,1
2017Q1,Westmeath,4
2017Q1,Wexford,34
2017Q1,Wicklow,94
2017Q1,Clare,12
2017Q1,Cork,136
2017Q1,Kerry,14
2017Q1,Limerick,25
2017Q1,Tipperary,8
2017Q1,Waterford,28
2017Q1,Galway,70
2017Q1,Leitrim,0
2017Q1,Mayo,1
2017Q1,Roscommon,11
2017Q1,Sligo,4
2017Q1,Cavan,1
2017Q1,Donegal,0
2017Q1,Monaghan,9
2017Q2,All Counties,2999
2017Q2,Carlow,14
2017Q2,Dublin,1787
2017Q2,Kildare,119
2017Q2,Kilkenny,0
2017Q2,Laois,0
2017Q2,Longford,0
2017Q2,Louth,67
2017Q2,Meath,353
2017Q2,Offaly,1
2017Q2,Westmeath,1
2017Q2,Wexford,46
2017Q2,Wicklow,80
2017Q2,Clare,34
2017Q2,Cork,330
2017Q2,Kerry,7
2017Q2,Limerick,96
2017Q2,Tipperary,3
2017Q2,Waterford,28
2017Q2,Galway,17
2017Q2,Leitrim,0
2017Q2,Mayo,2
2017Q2,Roscommon,10
2017Q2,Sligo,0
2017Q2,Cavan,0
2017Q2,Donegal,4
2017Q2,Monaghan,0
2017Q3,All Counties,2435
2017Q3,Carlow,0
2017Q3,Dublin,1197
2017Q3,Kildare,260
2017Q3,Kilkenny,1
2017Q3,Laois,0
2017Q3,Longford,0
2017Q3,Louth,81
2017Q3,Meath,202
2017Q3,Offaly,2
2017Q3,Westmeath,1
2017Q3,Wexford,60
2017Q3,Wicklow,112
2017Q3,Clare,21
2017Q3,Cork,331
2017Q3,Kerry,24
2017Q3,Limerick,28
2017Q3,Tipperary,2
2017Q3,Waterford,70
2017Q3,Galway,32
2017Q3,Leitrim,0
2017Q3,Mayo,1
2017Q3,Roscommon,5
2017Q3,Sligo,5
2017Q3,Cavan,0
2017Q3,Donegal,0
2017Q3,Monaghan,0
2017Q4,All Counties,1822
2017Q4,Carlow,0
2017Q4,Dublin,814
2017Q4,Kildare,224
2017Q4,Kilkenny,6
2017Q4,Laois,1
2017Q4,Longford,0
2017Q4,Louth,9
2017Q4,Meath,246
2017Q4,Offaly,3
2017Q4,Westmeath,8
2017Q4,Wexford,66
2017Q4,Wicklow,61
2017Q4,Clare,4
2017Q4,Cork,200
2017Q4,Kerry,13
2017Q4,Limerick,55
2017Q4,Tipperary,7
2017Q4,Waterford,70
2017Q4,Galway,24
2017Q4,Leitrim,0
2017Q4,Mayo,8
2017Q4,Roscommon,2
2017Q4,Sligo,1
2017Q4,Cavan,0
2017Q4,Donegal,0
2017Q4,Monaghan,0
2018Q1,All Counties,2013
2018Q1,Carlow,19
2018Q1,Dublin,848
2018Q1,Kildare,145
2018Q1,Kilkenny,20
2018Q1,Laois,0
2018Q1,Longford,0
2018Q1,Louth,30
2018Q1,Meath,269
2018Q1,Offaly,5
2018Q1,Westmeath,1
2018Q1,Wexford,76
2018Q1,Wicklow,196
2018Q1,Clare,19
2018Q1,Cork,195
2018Q1,Kerry,11
2018Q1,Limerick,63
2018Q1,Tipperary,3
2018Q1,Waterford,92
2018Q1,Galway,1
2018Q1,Leitrim,0
2018Q1,Mayo,10
2018Q1,Roscommon,6
2018Q1,Sligo,1
2018Q1,Cavan,0
2018Q1,Donegal,0
2018Q1,Monaghan,3
2018Q2,All Counties,2766
2018Q2,Carlow,0
2018Q2,Dublin,1200
2018Q2,Kildare,224
2018Q2,Kilkenny,11
2018Q2,Laois,0
2018Q2,Longford,0
2018Q2,Louth,88
2018Q2,Meath,379
2018Q2,Offaly,6
2018Q2,Westmeath,20
2018Q2,Wexford,53
2018Q2,Wicklow,108
2018Q2,Clare,26
2018Q2,Cork,373
2018Q2,Kerry,39
2018Q2,Limerick,41
2018Q2,Tipperary,14
2018Q2,Waterford,108
2018Q2,Galway,73
2018Q2,Leitrim,0
2018Q2,Mayo,3
2018Q2,Roscommon,0
2018Q2,Sligo,0
2018Q2,Cavan,0
2018Q2,Donegal,0
2018Q2,Monaghan,0
2018Q3,All Counties,2992
2018Q3,Carlow,41
2018Q3,Dublin,1308
2018Q3,Kildare,403
2018Q3,Kilkenny,1
2018Q3,Laois,0
2018Q3,Longford,0
2018Q3,Louth,100
2018Q3,Meath,366
2018Q3,Offaly,7
2018Q3,Westmeath,18
2018Q3,Wexford,102
2018Q3,Wicklow,110
2018Q3,Clare,26
2018Q3,Cork,294
2018Q3,Kerry,16
2018Q3,Limerick,64
2018Q3,Tipperary,26
2018Q3,Waterford,32
2018Q3,Galway,62
2018Q3,Leitrim,0
2018Q3,Mayo,16
2018Q3,Roscommon,0
2018Q3,Sligo,0
2018Q3,Cavan,0
2018Q3,Donegal,0
2018Q3,Monaghan,0
2018Q4,All Counties,2494
2018Q4,Carlow,0
2018Q4,Dublin,1096
2018Q4,Kildare,269
2018Q4,Kilkenny,24
2018Q4,Laois,0
2018Q4,Longford,0
2018Q4,Louth,87
2018Q4,Meath,233
2018Q4,Offaly,0
2018Q4,Westmeath,0
2018Q4,Wexford,69
2018Q4,Wicklow,48
2018Q4,Clare,48
2018Q4,Cork,249
2018Q4,Kerry,10
2018Q4,Limerick,90
2018Q4,Tipperary,10
2018Q4,Waterford,126
2018Q4,Galway,90
2018Q4,Leitrim,0
2018Q4,Mayo,25
2018Q4,Roscommon,0
2018Q4,Sligo,0
2018Q4,Cavan,0
2018Q4,Donegal,0
2018Q4,Monaghan,20
2019Q1,All Counties,2752
2019Q1,Carlow,10
2019Q1,Dublin,821
2019Q1,Kildare,572
2019Q1,Kilkenny,16
2019Q1,Laois,0
2019Q1,Longford,0
2019Q1,Louth,51
2019Q1,Meath,213
2019Q1,Offaly,25
2019Q1,Westmeath,15
2019Q1,Wexford,99
2019Q1,Wicklow,283
2019Q1,Clare,41
2019Q1,Cork,301
2019Q1,Kerry,39
2019Q1,Limerick,101
2019Q1,Tipperary,6
2019Q1,Waterford,68
2019Q1,Galway,73
2019Q1,Leitrim,0
2019Q1,Mayo,18
2019Q1,Roscommon,0
2019Q1,Sligo,0
2019Q1,Cavan,0
2019Q1,Donegal,0
2019Q1,Monaghan,0
2019Q2,All Counties,2366
2019Q2,Carlow,36
2019Q2,Dublin,1037
2019Q2,Kildare,312
2019Q2,Kilkenny,21
2019Q2,Laois,63
2019Q2,Longford,0
2019Q2,Louth,46
2019Q2,Meath,249
2019Q2,Offaly,18
2019Q2,Westmeath,25
2019Q2,Wexford,54
2019Q2,Wicklow,37
2019Q2,Clare,1
2019Q2,Cork,254
2019Q2,Kerry,11
2019Q2,Limerick,41
2019Q2,Tipperary,7
2019Q2,Waterford,48
2019Q2,Galway,81
2019Q2,Leitrim,0
2019Q2,Mayo,23
2019Q2,Roscommon,0
2019Q2,Sligo,0
2019Q2,Cavan,2
2019Q2,Donegal,0
2019Q2,Monaghan,0
2019Q3,All Counties,2612
2019Q3,Carlow,11
2019Q3,Dublin,869
2019Q3,Kildare,355
2019Q3,Kilkenny,55
2019Q3,Laois,30
2019Q3,Longford,0
2019Q3,Louth,39
2019Q3,Meath,416
2019Q3,Offaly,6
2019Q3,Westmeath,4
2019Q3,Wexford,36
2019Q3,Wicklow,135
2019Q3,Clare,32
2019Q3,Cork,284
2019Q3,Kerry,2
2019Q3,Limerick,73
2019Q3,Tipperary,5
2019Q3,Waterford,103
2019Q3,Galway,125
2019Q3,Leitrim,0
2019Q3,Mayo,12
2019Q3,Roscommon,0
2019Q3,Sligo,0
2019Q3,Cavan,1
2019Q3,Donegal,19
