Quarter,County,VALUE
2001Q4,Sligo,90
2001Q4,Cavan,6
2001Q4,Donegal,125
2001Q4,Monaghan,4
2002Q1,All Counties,11096
2002Q1,Carlow,92
2002Q1,Dublin,3473
2002Q1,Kildare,419
2002Q1,Kilkenny,204
2002Q1,Laois,147
2002Q1,Longford,82
2002Q1,Louth,272
2002Q1,Meath,556
2002Q1,Offaly,123
2002Q1,Westmeath,232
2002Q1,Wexford,475
2002Q1,Wicklow,258
2002Q1,Clare,180
2002Q1,Cork,1460
2002Q1,Kerry,396
2002Q1,Limerick,392
2002Q1,Tipperary,180
2002Q1,Waterford,397
2002Q1,Galway,973
2002Q1,Leitrim,38
2002Q1,Mayo,160
2002Q1,Roscommon,100
2002Q1,Sligo,108
2002Q1,Cavan,69
2002Q1,Donegal,253
2002Q1,Monaghan,57
2002Q2,All Counties,14316
2002Q2,Carlow,129
2002Q2,Dublin,5115
2002Q2,Kildare,746
2002Q2,Kilkenny,261
2002Q2,Laois,132
2002Q2,Longford,71
2002Q2,Louth,476
2002Q2,Meath,776
2002Q2,Offaly,169
2002Q2,Westmeath,238
2002Q2,Wexford,503
2002Q2,Wicklow,392
2002Q2,Clare,285
2002Q2,Cork,1674
2002Q2,Kerry,337
2002Q2,Limerick,490
2002Q2,Tipperary,343
2002Q2,Waterford,489
2002Q2,Galway,697
2002Q2,Leitrim,81
2002Q2,Mayo,169
2002Q2,Roscommon,173
2002Q2,Sligo,189
2002Q2,Cavan,99
2002Q2,Donegal,258
2002Q2,Monaghan,24
2002Q3,All Counties,13584
2002Q3,Carlow,108
2002Q3,Dublin,5038
2002Q3,Kildare,606
2002Q3,Kilkenny,228
2002Q3,Laois,236
2002Q3,Longford,29
2002Q3,Louth,256
2002Q3,Meath,967
2002Q3,Offaly,201
2002Q3,Westmeath,384
2002Q3,Wexford,324
2002Q3,Wicklow,403
2002Q3,Clare,269
2002Q3,Cork,1445
2002Q3,Kerry,419
2002Q3,Limerick,502
2002Q3,Tipperary,334
2002Q3,Waterford,332
2002Q3,Galway,696
2002Q3,Leitrim,10
2002Q3,Mayo,291
2002Q3,Roscommon,59
2002Q3,Sligo,119
2002Q3,Cavan,116
2002Q3,Donegal,156
2002Q3,Monaghan,56
2002Q4,All Counties,12021
2002Q4,Carlow,100
2002Q4,Dublin,4617
2002Q4,Kildare,421
2002Q4,Kilkenny,371
2002Q4,Laois,306
2002Q4,Longford,56
2002Q4,Louth,336
2002Q4,Meath,605
2002Q4,Offaly,147
2002Q4,Westmeath,177
2002Q4,Wexford,309
2002Q4,Wicklow,292
2002Q4,Clare,130
2002Q4,Cork,1425
2002Q4,Kerry,409
2002Q4,Limerick,440
2002Q4,Tipperary,241
2002Q4,Waterford,332
2002Q4,Galway,575
2002Q4,Leitrim,84
2002Q4,Mayo,217
2002Q4,Roscommon,15
2002Q4,Sligo,140
2002Q4,Cavan,86
2002Q4,Donegal,137
2002Q4,Monaghan,53
2003Q1,All Counties,13754
2003Q1,Carlow,162
2003Q1,Dublin,3758
2003Q1,Kildare,727
2003Q1,Kilkenny,220
2003Q1,Laois,422
2003Q1,Longford,61
2003Q1,Louth,508
2003Q1,Meath,942
2003Q1,Offaly,188
2003Q1,Westmeath,301
2003Q1,Wexford,460
2003Q1,Wicklow,408
2003Q1,Clare,386
2003Q1,Cork,1469
2003Q1,Kerry,290
2003Q1,Limerick,650
2003Q1,Tipperary,420
2003Q1,Waterford,361
2003Q1,Galway,886
2003Q1,Leitrim,97
2003Q1,Mayo,260
2003Q1,Roscommon,63
2003Q1,Sligo,212
2003Q1,Cavan,110
2003Q1,Donegal,349
2003Q1,Monaghan,44
2003Q2,All Counties,14395
2003Q2,Carlow,149
2003Q2,Dublin,4545
2003Q2,Kildare,862
2003Q2,Kilkenny,282
2003Q2,Laois,314
2003Q2,Longford,5
2003Q2,Louth,410
2003Q2,Meath,1023
2003Q2,Offaly,418
2003Q2,Westmeath,394
2003Q2,Wexford,417
2003Q2,Wicklow,391
2003Q2,Clare,261
2003Q2,Cork,1721
2003Q2,Kerry,298
2003Q2,Limerick,466
2003Q2,Tipperary,321
2003Q2,Waterford,424
2003Q2,Galway,556
2003Q2,Leitrim,120
2003Q2,Mayo,188
2003Q2,Roscommon,146
2003Q2,Sligo,231
2003Q2,Cavan,109
2003Q2,Donegal,271
2003Q2,Monaghan,73
2003Q3,All Counties,14420
2003Q3,Carlow,254
2003Q3,Dublin,3937
2003Q3,Kildare,798
